trade_date,open,high,low,close,vol,pct_chg
2023-06-06,9.67,9.74,9.23,9.3,767632.68,-3.8263
2023-06-07,9.3,9.66,9.13,9.44,667636.18,1.5054
2023-06-08,9.42,9.43,9.07,9.22,561365.65,-2.3305
2023-06-09,9.31,9.48,9.2,9.44,593960.41,2.3861
2023-06-12,9.44,9.67,9.38,9.56,614825.99,1.2712
2023-06-13,9.56,10.2,9.25,9.91,1117615.11,3.6611
2023-06-14,9.76,9.86,9.58,9.61,720175.01,-3.0272
2023-06-15,9.55,9.6,9.33,9.34,538544.35,-2.8096
2023-06-16,9.26,9.99,9.25,9.72,837524.68,4.0685
2023-06-19,9.68,9.99,9.59,9.86,831720.14,1.4403
2023-06-20,9.75,9.86,9.62,9.64,516032.41,-2.2312
2023-06-21,9.75,9.76,9.14,9.15,490051.08,-5.083
2023-06-26,9.07,9.23,8.44,8.45,531021.73,-7.6503
2023-06-27,8.53,8.95,8.52,8.86,426396.93,4.8521
2023-06-28,8.79,8.81,8.25,8.51,411990.22,-3.9503
2023-06-29,8.5,8.51,8.36,8.41,250760.27,-1.1751
2023-06-30,7.58,8.16,7.58,8.1,582351.68,-3.6861
2023-07-03,8.12,8.39,7.97,8.26,499661.24,1.9753
2023-07-04,8.26,8.26,8.1,8.16,273051.48,-1.2107
2023-07-05,8.17,8.25,8.08,8.1,247175.8,-0.7353
2023-07-06,8.09,8.19,8.0,8.03,204844.35,-0.8642
2023-07-07,8.05,8.06,7.86,7.89,223425.03,-1.7435
2023-07-10,7.89,7.98,7.85,7.91,148152.35,0.2535
2023-07-11,7.91,7.96,7.84,7.88,141325.42,-0.3793
2023-07-12,7.85,7.87,7.68,7.69,204382.64,-2.4112
2023-07-13,7.68,7.98,7.6,7.89,273958.4,2.6008
2023-07-14,7.89,8.16,7.89,8.08,356291.95,2.4081
2023-07-17,8.15,8.46,8.1,8.21,398312.52,1.6089
2023-07-18,8.16,8.16,7.92,8.03,227967.59,-2.1924
2023-07-19,8.02,8.13,7.98,8.05,157902.45,0.2491
2023-07-20,8.02,8.03,7.86,7.88,180979.57,-2.1118
2023-07-21,7.9,7.95,7.81,7.84,126891.0,-0.5076
2023-07-24,7.75,7.93,7.71,7.82,125897.37,-0.2551
2023-07-25,7.89,8.05,7.82,8.05,300534.11,2.9412
2023-07-26,8.06,8.09,7.81,7.85,214337.96,-2.4845
2023-07-27,7.81,7.88,7.66,7.68,200942.9,-2.1656
2023-07-28,7.61,7.7,7.45,7.7,219838.0,0.2604
2023-07-31,7.73,7.81,7.66,7.76,174815.03,0.7792
2023-08-01,7.76,7.8,7.63,7.69,160991.63,-0.9021
2023-08-02,7.69,7.69,7.58,7.61,150716.0,-1.0403
2023-08-03,7.56,7.63,7.53,7.61,97375.0,0.0
2023-08-04,7.59,8.36,7.57,8.15,766450.68,7.0959
2023-08-07,8.08,8.24,7.95,8.16,514402.41,0.1227
2023-08-08,8.18,8.24,8.01,8.03,265747.34,-1.5931
2023-08-09,7.96,8.27,7.95,8.11,407015.91,0.9963
2023-08-10,8.0,8.06,7.88,7.94,251307.64,-2.0962
2023-08-11,7.9,8.28,7.74,8.06,538530.83,1.5113
2023-08-14,7.9,8.87,7.8,8.87,1172598.78,10.0496
2023-08-15,9.11,9.58,8.9,9.12,1730342.7,2.8185
2023-08-16,9.13,9.59,8.93,9.31,1404009.96,2.0833
2023-08-17,9.1,9.2,8.87,9.04,912865.35,-2.9001
2023-08-18,9.0,9.08,8.5,8.53,810046.67,-5.6416
2023-08-21,8.59,9.38,8.55,9.38,942198.17,9.9648
2023-08-22,9.74,10.32,9.52,10.04,2094888.6,7.0362
2023-08-23,9.73,9.77,9.38,9.39,1146129.26,-6.4741
2023-08-24,9.43,9.56,9.12,9.15,850207.0,-2.5559
2023-08-25,8.83,8.99,8.24,8.25,998131.03,-9.8361
2023-08-28,8.6,8.73,8.06,8.13,832317.84,-1.4545
2023-08-29,8.0,8.4,7.81,8.36,733315.38,2.829
2023-08-30,8.42,9.17,8.42,8.79,1094441.08,5.1435
2023-08-31,8.57,8.68,8.42,8.5,607813.91,-3.2992
2023-09-01,8.55,8.55,8.32,8.37,408306.9,-1.5294
2023-09-04,8.37,8.76,8.3,8.75,752146.49,4.54
2023-09-05,8.72,8.72,8.48,8.53,501124.5,-2.5143
2023-09-06,8.48,8.52,8.25,8.44,329163.27,-1.0551
2023-09-07,8.39,9.28,8.31,9.28,1272501.5,9.9526
2023-09-08,9.47,9.76,9.16,9.28,1851928.64,0.0
2023-09-11,9.29,9.58,9.1,9.39,1078411.39,1.1853
2023-09-12,9.3,9.68,9.22,9.26,875752.19,-1.3845
2023-09-13,9.15,9.25,8.91,9.04,655525.25,-2.3758
2023-09-14,8.98,9.15,8.91,9.02,437167.55,-0.2212
2023-09-15,9.01,9.04,8.72,8.76,500746.71,-2.8825
2023-09-18,8.7,8.85,8.6,8.79,369195.75,0.3425
2023-09-19,8.77,8.79,8.48,8.51,402763.01,-3.1854
2023-09-20,8.51,8.84,8.51,8.56,440468.55,0.5875
2023-09-21,8.56,9.22,8.42,8.93,848842.42,4.3224
2023-09-22,8.77,9.12,8.63,9.04,765375.26,1.2318
2023-09-25,9.08,9.2,8.99,9.05,627462.38,0.1106
2023-09-26,9.0,9.2,8.91,9.12,602710.68,0.7735
2023-09-27,9.0,9.12,8.76,8.87,577450.11,-2.7412
2023-09-28,8.89,8.96,8.75,8.83,382338.16,-0.451
2023-10-09,8.82,8.95,8.77,8.87,352855.56,0.453
2023-10-10,8.82,9.64,8.79,9.21,943912.16,3.8331
2023-10-11,9.12,9.2,8.9,9.11,531127.51,-1.0858
2023-10-12,9.12,9.41,9.02,9.35,730070.29,2.6345
2023-10-13,9.25,9.3,9.13,9.28,463445.27,-0.7487
2023-10-16,9.22,9.27,8.93,9.05,416674.61,-2.4784
2023-10-17,9.06,9.14,8.73,8.77,389914.14,-3.0939
2023-10-18,8.68,8.76,8.19,8.33,476250.39,-5.0171
2023-10-19,8.23,8.44,8.17,8.22,303312.21,-1.3205
2023-10-20,8.15,8.2,7.91,7.94,320230.85,-3.4063
2023-10-23,7.94,8.27,7.8,8.12,345323.68,2.267
2023-10-24,8.12,8.26,7.93,8.17,299740.9,0.6158
2023-10-25,8.17,8.42,8.17,8.22,294165.7,0.612
2023-10-26,8.22,8.44,8.2,8.29,306289.86,0.8516
2023-10-27,8.19,8.21,8.01,8.16,275296.72,-1.5682
2023-10-30,8.01,8.37,8.01,8.29,294182.96,1.5931
2023-10-31,8.39,8.96,8.39,8.53,609977.8,2.8951
2023-11-01,8.36,8.43,8.26,8.3,317542.55,-2.6964
2023-11-02,8.24,8.37,8.14,8.15,227785.0,-1.8072
2023-11-03,8.2,8.3,8.14,8.27,194078.57,1.4724
2023-11-06,8.31,8.5,8.29,8.45,300151.36,2.1765
2023-11-07,8.51,8.63,8.5,8.53,329072.64,0.9467
2023-11-08,8.46,8.95,8.41,8.69,563423.68,1.8757
2023-11-09,8.7,8.7,8.5,8.54,324077.54,-1.7261
2023-11-10,8.48,8.51,8.38,8.44,185576.2,-1.171
2023-11-13,8.44,8.69,8.4,8.56,267083.02,1.4218
2023-11-14,8.48,8.68,8.46,8.62,256189.34,0.7009
2023-11-15,8.68,8.75,8.57,8.59,278397.99,-0.348
2023-11-16,8.5,8.69,8.46,8.6,332303.62,0.1164
2023-11-17,8.56,8.56,8.42,8.51,247415.9,-1.0465
2023-11-20,8.5,8.61,8.47,8.61,244195.53,1.1751
2023-11-21,8.69,9.19,8.6,8.79,879863.02,2.0906
2023-11-22,9.0,9.67,8.9,9.67,660287.82,10.0114
2023-11-23,9.3,10.34,9.18,9.51,1837982.83,-1.6546
2023-11-24,9.26,9.35,8.93,9.0,972047.35,-5.3628
2023-11-27,8.92,9.18,8.82,8.84,603871.52,-1.7778
2023-11-28,8.75,8.93,8.54,8.92,535142.48,0.905
2023-11-29,8.81,8.96,8.72,8.75,376387.62,-1.9058
2023-11-30,8.73,8.75,8.41,8.45,450201.81,-3.4286
2023-12-01,8.46,8.66,8.46,8.63,334941.18,2.1302
2023-12-04,8.58,8.86,8.54,8.81,427852.32,2.0857
2023-12-05,8.87,9.09,8.7,8.79,584662.16,-0.227
2023-12-06,8.69,8.99,8.69,8.82,419521.31,0.3413
2023-12-07,8.82,9.1,8.75,9.1,582115.31,3.1746
2023-12-08,9.08,9.1,8.81,8.86,471553.88,-2.6374
2023-12-11,8.75,8.82,8.5,8.8,381111.24,-0.6772
2023-12-12,8.74,9.5,8.74,9.23,883645.02,4.8864
2023-12-13,9.13,9.13,8.88,8.89,530270.32,-3.6836
2023-12-14,8.89,9.16,8.86,8.94,386259.88,0.5624
2023-12-15,8.94,9.0,8.68,8.86,316574.48,-0.8949
2023-12-18,8.77,8.92,8.57,8.61,283289.95,-2.8217
2023-12-19,8.6,8.65,8.35,8.41,312516.44,-2.3229
2023-12-20,8.41,8.42,8.12,8.13,287106.67,-3.3294
2023-12-21,7.98,8.25,7.95,8.2,221502.19,0.861
2023-12-22,8.27,8.28,7.9,7.97,248509.15,-2.8049
2023-12-25,7.97,8.11,7.88,8.05,154173.19,1.0038
2023-12-26,8.05,8.05,7.88,7.92,135120.85,-1.6149
2023-12-27,7.91,8.0,7.9,7.98,117045.12,0.7576
2023-12-28,7.95,8.08,7.85,8.03,233060.19,0.6266
2023-12-29,7.96,8.14,7.86,8.12,249081.68,1.1208
2024-01-02,8.08,8.17,8.06,8.08,163064.95,-0.4926
2024-01-03,8.08,8.12,7.96,8.04,142377.81,-0.495
2024-01-04,8.04,8.08,7.92,7.99,118740.0,-0.6219
2024-01-05,7.99,8.03,7.68,7.77,181022.51,-2.7534
2024-01-08,7.77,7.77,7.45,7.45,200735.0,-4.1184
2024-01-09,7.46,7.59,7.29,7.33,194527.31,-1.6107
2024-01-10,7.34,7.36,7.03,7.04,224872.62,-3.9563
2024-01-11,7.06,7.29,7.06,7.27,202918.33,3.267
