ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002528.SZ,20240604,2.32,2.32,2.32,2.32,2.44,-0.12,-4.918,9421.0,2185.672
002528.SZ,20240603,2.44,2.44,2.44,2.44,2.57,-0.13,-5.0584,11598.0,2829.912
002528.SZ,20240531,2.57,2.57,2.57,2.57,2.7,-0.13,-4.8148,27936.0,7179.552
002528.SZ,20240530,2.72,2.75,2.7,2.7,2.84,-0.14,-4.9296,109095.0,29589.979
002528.SZ,20240529,2.85,2.89,2.84,2.84,2.99,-0.15,-5.0167,203019.42,57779.513
002528.SZ,20240528,3.06,3.1,2.99,2.99,3.15,-0.16,-5.0794,316678.77,95201.985
002528.SZ,20240527,3.28,3.33,3.15,3.15,3.32,-0.17,-5.1205,335773.7,107134.477
002528.SZ,20240524,3.33,3.42,3.18,3.32,3.35,-0.03,-0.8955,520321.66,169255.264
002528.SZ,20240523,3.32,3.47,3.32,3.35,3.34,0.01,0.2994,441597.46,149525.557
002528.SZ,20240522,3.36,3.54,3.34,3.34,3.52,-0.18,-5.1136,604021.33,204089.071
002528.SZ,20240521,3.54,3.67,3.52,3.52,3.71,-0.19,-5.1213,279287.55,98868.826
002528.SZ,20240520,3.71,3.79,3.71,3.71,3.9,-0.19,-4.8718,422107.47,157087.336
002528.SZ,20240517,3.52,3.9,3.52,3.9,3.71,0.19,5.1213,937302.78,342023.991
002528.SZ,20240516,3.71,3.71,3.71,3.71,3.91,-0.2,-5.1151,54903.0,20369.013
002528.SZ,20240515,3.91,3.91,3.91,3.91,4.12,-0.21,-5.0971,11394.0,4455.054
002528.SZ,20240514,4.12,4.12,4.12,4.12,4.34,-0.22,-5.0691,7355.0,3030.26
002528.SZ,20240513,4.34,4.34,4.34,4.34,4.57,-0.23,-5.0328,3728.0,1617.952
002528.SZ,20240510,4.57,4.57,4.57,4.57,4.81,-0.24,-4.9896,4656.0,2127.792
002528.SZ,20240509,4.81,4.81,4.81,4.81,5.06,-0.25,-4.9407,10082.0,4849.442
002528.SZ,20240508,5.06,5.06,5.06,5.06,5.33,-0.27,-5.0657,2088.0,1056.528
002528.SZ,20240507,5.33,5.33,5.33,5.33,5.61,-0.28,-4.9911,2908.0,1549.964
002528.SZ,20240506,5.61,5.61,5.61,5.61,5.9,-0.29,-4.9153,2637.0,1479.357
002528.SZ,20240429,5.74,5.92,5.74,5.9,5.74,0.16,2.7875,168052.52,98618.302
002528.SZ,20240426,5.61,5.77,5.61,5.74,5.67,0.07,1.2346,143947.62,82499.024
002528.SZ,20240425,5.67,5.74,5.66,5.67,5.72,-0.05,-0.8741,100504.0,57186.288
002528.SZ,20240424,5.58,5.72,5.57,5.72,5.6,0.12,2.1429,125569.06,71326.113
002528.SZ,20240423,5.52,5.62,5.5,5.6,5.53,0.07,1.2658,104987.1,58642.612
002528.SZ,20240422,5.48,5.6,5.32,5.53,5.49,0.04,0.7286,107079.26,58692.261
002528.SZ,20240419,5.55,5.62,5.46,5.49,5.62,-0.13,-2.3132,131122.0,72357.141
002528.SZ,20240418,5.78,5.81,5.6,5.62,5.74,-0.12,-2.0906,164770.6,93544.24
002528.SZ,20240417,5.39,5.74,5.39,5.74,5.37,0.37,6.8901,179763.0,101792.897
002528.SZ,20240416,5.88,5.89,5.37,5.37,5.97,-0.6,-10.0503,257030.0,141934.39
002528.SZ,20240415,6.12,6.2,5.68,5.97,6.24,-0.27,-4.3269,198195.42,118413.818
002528.SZ,20240412,6.33,6.39,6.24,6.24,6.33,-0.09,-1.4218,91272.45,57508.354
002528.SZ,20240411,6.29,6.42,6.25,6.33,6.33,0.0,0.0,108077.65,68722.528
002528.SZ,20240410,6.5,6.54,6.25,6.33,6.55,-0.22,-3.3588,162403.23,103134.828
002528.SZ,20240409,6.51,6.59,6.47,6.55,6.48,0.07,1.0802,102707.15,67105.475
002528.SZ,20240408,6.64,6.64,6.46,6.48,6.65,-0.17,-2.5564,149971.41,97756.607
002528.SZ,20240403,6.8,6.84,6.61,6.65,6.85,-0.2,-2.9197,185158.77,123627.203
002528.SZ,20240402,7.0,7.03,6.81,6.85,7.04,-0.19,-2.6989,225933.59,155436.205
002528.SZ,20240401,6.94,7.13,6.94,7.04,6.94,0.1,1.4409,263292.33,185441.663
002528.SZ,20240329,7.07,7.17,6.79,6.94,7.07,-0.13,-1.8388,416879.3,289788.087
002528.SZ,20240328,6.41,7.07,6.4,7.07,6.43,0.64,9.9533,391731.0,268812.895
002528.SZ,20240327,6.88,6.91,6.42,6.43,6.97,-0.54,-7.7475,303310.6,201437.632
002528.SZ,20240326,7.24,7.24,6.9,6.97,7.26,-0.29,-3.9945,369453.75,259753.644
002528.SZ,20240325,7.35,7.58,7.2,7.26,7.19,0.07,0.9736,597791.82,439681.413
002528.SZ,20240322,7.31,7.31,7.08,7.19,7.31,-0.12,-1.6416,229407.16,164755.082
002528.SZ,20240321,7.35,7.43,7.28,7.31,7.32,-0.01,-0.1366,211947.0,155548.816
002528.SZ,20240320,7.25,7.32,7.22,7.32,7.26,0.06,0.8264,214294.48,156397.183
002528.SZ,20240319,7.31,7.35,7.25,7.26,7.31,-0.05,-0.684,211844.82,154604.518
002528.SZ,20240318,7.19,7.32,7.16,7.31,7.19,0.12,1.669,274393.0,198935.987
002528.SZ,20240315,7.1,7.19,7.05,7.19,7.16,0.03,0.419,189167.0,134591.176
002528.SZ,20240314,7.31,7.38,7.05,7.16,7.39,-0.23,-3.1123,342889.9,246825.61
002528.SZ,20240313,7.36,7.55,7.32,7.39,7.26,0.13,1.7906,503213.3,374218.291
002528.SZ,20240312,7.2,7.35,7.15,7.26,7.16,0.1,1.3966,315878.01,228657.529
002528.SZ,20240311,7.01,7.2,6.95,7.16,7.01,0.15,2.1398,284929.53,201866.53
002528.SZ,20240308,6.98,7.03,6.88,7.01,6.98,0.03,0.4298,203733.02,142041.662
002528.SZ,20240307,7.13,7.2,6.98,6.98,7.09,-0.11,-1.5515,247799.15,175576.252
002528.SZ,20240306,7.06,7.15,7.0,7.09,7.11,-0.02,-0.2813,241273.17,170763.352
002528.SZ,20240305,7.16,7.25,7.05,7.11,7.21,-0.1,-1.387,269835.6,192828.198
002528.SZ,20240304,7.2,7.26,6.98,7.21,7.2,0.01,0.1389,349836.8,250034.615
002528.SZ,20240301,6.97,7.28,6.97,7.2,6.97,0.23,3.2999,433712.6,309721.363
002528.SZ,20240229,6.61,7.0,6.56,6.97,6.69,0.28,4.1854,329364.89,226978.307
002528.SZ,20240228,7.28,7.38,6.67,6.69,7.27,-0.58,-7.978,535003.86,379103.116
002528.SZ,20240227,7.0,7.27,6.96,7.27,7.09,0.18,2.5388,455015.77,325461.546
002528.SZ,20240226,7.12,7.3,6.92,7.09,7.1,-0.01,-0.1408,457230.3,324477.26
002528.SZ,20240223,6.89,7.2,6.77,7.1,6.8,0.3,4.4118,491267.58,341832.009
002528.SZ,20240222,6.67,6.9,6.65,6.8,6.6,0.2,3.0303,383502.47,260433.989
