ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001339.SZ,20240604,29.2,29.32,27.87,28.33,30.38,-2.05,-6.7479,160179.1,456861.842
001339.SZ,20240603,29.15,31.5,28.2,30.38,29.21,1.17,4.0055,299028.78,879341.515
001339.SZ,20240531,27.91,29.21,27.5,29.21,26.55,2.66,10.0188,157641.83,455379.132
001339.SZ,20240530,26.26,26.69,25.56,26.55,26.69,-0.14,-0.5245,47247.0,124595.519
001339.SZ,20240529,26.59,27.39,26.29,26.69,26.55,0.14,0.5273,65898.0,176620.909
001339.SZ,20240528,26.85,27.08,26.21,26.55,27.11,-0.56,-2.0657,48818.0,129560.019
001339.SZ,20240527,27.54,27.73,26.5,27.11,27.37,-0.26,-0.9499,59878.1,160895.125
001339.SZ,20240524,28.36,29.13,27.36,27.41,28.59,-1.18,-4.1273,103414.1,291016.66
001339.SZ,20240523,28.16,29.1,28.0,28.59,28.3,0.29,1.0247,114767.22,329262.786
001339.SZ,20240522,27.8,28.45,27.57,28.3,27.98,0.32,1.1437,72750.0,204764.951
001339.SZ,20240521,27.9,29.25,27.88,27.98,27.9,0.08,0.2867,103750.0,294712.837
001339.SZ,20240520,27.18,27.96,27.18,27.9,27.55,0.35,1.2704,47704.0,132116.497
001339.SZ,20240517,27.2,27.55,26.88,27.55,27.24,0.31,1.138,47495.0,129966.075
001339.SZ,20240516,26.8,27.8,26.8,27.24,26.75,0.49,1.8318,47574.0,129865.485
001339.SZ,20240515,26.98,27.23,26.6,26.75,27.09,-0.34,-1.2551,29920.0,80528.483
001339.SZ,20240514,26.1,27.2,26.1,27.09,26.1,0.99,3.7931,51676.0,138466.184
001339.SZ,20240513,26.69,26.72,25.97,26.1,26.82,-0.72,-2.6846,44365.0,116017.506
001339.SZ,20240510,27.46,27.7,26.65,26.82,27.58,-0.76,-2.7556,46566.12,125399.838
001339.SZ,20240509,27.8,27.99,27.4,27.58,27.56,0.02,0.0726,36029.0,99654.011
001339.SZ,20240508,28.28,28.29,27.52,27.56,28.28,-0.72,-2.546,41681.0,115704.985
001339.SZ,20240507,28.22,28.76,27.97,28.28,28.2,0.08,0.2837,48216.12,136744.553
001339.SZ,20240506,28.41,28.6,28.13,28.2,28.1,0.1,0.3559,55084.0,156254.546
001339.SZ,20240430,28.26,28.49,27.53,28.1,28.2,-0.1,-0.3546,67484.0,189232.292
001339.SZ,20240429,27.83,28.39,27.81,28.2,27.94,0.26,0.9306,76502.54,215130.818
001339.SZ,20240426,26.75,28.6,26.75,27.94,27.04,0.9,3.3284,93216.0,259817.911
001339.SZ,20240425,26.5,27.5,26.41,27.04,26.9,0.14,0.5204,65073.12,176437.045
001339.SZ,20240424,25.74,26.93,25.66,26.9,25.64,1.26,4.9142,73759.16,195274.66
001339.SZ,20240423,25.8,26.08,25.4,25.64,25.48,0.16,0.6279,44419.0,114289.193
001339.SZ,20240422,25.17,25.97,24.6,25.48,25.9,-0.42,-1.6216,53178.12,134974.11
001339.SZ,20240419,26.55,27.07,25.5,25.9,26.55,-0.65,-2.4482,76735.12,200393.327
001339.SZ,20240418,27.13,27.48,26.42,26.55,27.25,-0.7,-2.5688,83168.0,223597.089
001339.SZ,20240417,25.61,27.49,25.61,27.25,25.61,1.64,6.4037,106869.0,288363.324
001339.SZ,20240416,28.35,28.45,25.61,25.61,28.46,-2.85,-10.0141,112436.12,295587.612
001339.SZ,20240415,30.3,30.98,27.95,28.46,30.57,-2.11,-6.9022,142749.12,418603.751
001339.SZ,20240412,32.5,32.55,30.14,30.57,33.48,-2.91,-8.6918,183162.12,576715.782
001339.SZ,20240411,31.9,35.0,31.63,33.48,32.54,0.94,2.8888,219165.82,729734.471
001339.SZ,20240410,32.2,34.25,32.0,32.54,32.7,-0.16,-0.4893,206171.8,683462.4
001339.SZ,20240409,32.73,33.23,31.8,32.7,32.88,-0.18,-0.5474,215961.11,698144.049
001339.SZ,20240408,29.78,32.88,29.6,32.88,29.89,2.99,10.0033,133401.99,430054.15
001339.SZ,20240403,31.35,31.57,29.87,29.89,31.37,-1.48,-4.7179,77947.0,236284.677
001339.SZ,20240402,32.4,32.75,31.04,31.37,31.86,-0.49,-1.538,139025.12,443967.295
001339.SZ,20240401,29.02,31.86,29.02,31.86,28.96,2.9,10.0138,118940.28,364850.106
001339.SZ,20240329,28.6,29.01,28.22,28.96,28.58,0.38,1.3296,58444.0,167442.692
001339.SZ,20240328,27.27,28.98,27.24,28.58,27.62,0.96,3.4757,73964.84,209949.919
001339.SZ,20240327,29.34,29.54,27.56,27.62,29.37,-1.75,-5.9585,80470.89,228420.579
001339.SZ,20240326,30.41,30.91,29.16,29.37,30.48,-1.11,-3.6417,90825.03,270187.068
001339.SZ,20240325,31.89,32.4,30.25,30.48,32.43,-1.95,-6.013,109625.52,344305.345
001339.SZ,20240322,33.55,33.68,32.13,32.43,33.7,-1.27,-3.7685,114230.65,373241.204
001339.SZ,20240321,33.22,33.97,32.56,33.7,32.98,0.72,2.1831,138223.76,461783.619
001339.SZ,20240320,33.16,33.44,32.68,32.98,33.16,-0.18,-0.5428,82340.73,272087.365
001339.SZ,20240319,34.08,34.08,33.08,33.16,34.15,-0.99,-2.899,126166.95,423966.187
001339.SZ,20240318,33.38,34.29,33.01,34.15,33.07,1.08,3.2658,168829.64,569880.846
001339.SZ,20240315,31.74,33.46,31.45,33.07,31.9,1.17,3.6677,135245.18,441212.997
001339.SZ,20240314,32.65,32.66,31.4,31.9,33.02,-1.12,-3.3919,116200.18,372471.606
001339.SZ,20240313,32.78,33.87,32.5,33.02,32.48,0.54,1.6626,168465.43,559372.673
001339.SZ,20240312,32.73,33.3,31.77,32.48,32.76,-0.28,-0.8547,117086.85,380476.356
001339.SZ,20240311,31.99,32.93,31.58,32.76,32.94,-0.18,-0.5464,126530.73,408471.004
001339.SZ,20240308,32.41,33.34,31.73,32.94,33.31,-0.37,-1.1108,167605.8,546459.991
001339.SZ,20240307,34.0,35.8,33.28,33.31,33.3,0.01,0.03,243322.4,833171.718
001339.SZ,20240306,33.0,33.85,32.3,33.3,33.93,-0.63,-1.8568,193668.49,639038.198
001339.SZ,20240305,31.85,34.33,31.85,33.93,32.72,1.21,3.698,280748.0,936950.565
001339.SZ,20240304,33.0,34.79,31.82,32.72,32.07,0.65,2.0268,364340.73,1204516.631
001339.SZ,20240301,29.15,32.07,29.15,32.07,29.15,2.92,10.0172,295974.86,933975.834
001339.SZ,20240229,26.9,29.25,26.72,29.15,27.88,1.27,4.5552,154593.62,440806.989
001339.SZ,20240228,30.58,31.28,27.88,27.88,30.98,-3.1,-10.0065,203761.42,606044.556
001339.SZ,20240227,29.0,31.59,28.61,30.98,30.03,0.95,3.1635,235310.3,703713.34
001339.SZ,20240226,29.47,30.88,28.45,30.03,29.47,0.56,1.9002,288850.67,854615.544
001339.SZ,20240223,27.35,29.47,26.07,29.47,26.79,2.68,10.0037,282285.49,808439.64
001339.SZ,20240222,25.69,26.93,25.16,26.79,25.24,1.55,6.141,200928.22,524151.68
001339.SZ,20240221,24.98,26.27,24.64,25.24,25.42,-0.18,-0.7081,168072.25,429069.881
001339.SZ,20240220,24.5,25.83,23.66,25.42,24.99,0.43,1.7207,205843.94,512940.022
